amateur,country_code,player_name,country,dg_id
0,FRA,"Barjon, Paul",France,16566
0,RSA,"Barker, Kyle",South Africa,23951
0,AUS,"Barker, Lachlan",Australia,30448
0,USA,"Barlow, Craig",United States,6138
0,USA,"Barnes, Erik",United States,14799
0,USA,"Barnes, Ricky",United States,6846
0,USA,"Barron, Derek",United States,16695
0,AUS,"Barron, Haydn",Australia,19068
0,ENG,"Barrow, Callan",England,28620
0,AUS,"Basic, Neven",Australia,7700
0,USA,"Bass, Thomas",United States,25033
0,RSA,"Basson, Christiaan",South Africa,11953
0,RSA,"Basson, Dwayne",South Africa,19419
0,NZL,"Bateman, Harry",New Zealand,16921
0,CAN,"Bateman, Wilson",Canada,15499
1,NED,"Batens, Thijmen",Netherlands,29545
0,USA,"Bauchou, Zachary",United States,19846
0,SWE,"Baumann, Christoffer",Sweden,20527
1,GER,"Baumgartner, Jonas",Germany,26799
0,AUS,"Bautista, Austin",Australia,21152
0,ENG,"Bawden, Bradley",England,26979
0,USA,"Bayley, Derek",United States,26117
0,USA,"Beach, Alex",United States,23853
0,AUS,"Beaufils, Ray",Australia,12826
0,AUS,"Beck, Darren",Australia,9905
0,USA,"Beck, Jimmy",United States,21427
0,AUS,"Becker, Braden",Australia,17908
0,GER,"Becker, Fabian",Germany,12506
0,BRA,"Becker, Rafael",Brazil,17275
0,USA,"Beckler, Andrew",United States,29765
0,USA,"Beckman, Cameron",United States,3869
0,IND,"Bedi, Aadil",India,25416
0,USA,"Beem, Rich",United States,6301
0,RSA,"Bekker, Oliver",South Africa,12819
0,USA,"Beljan, Charlie",United States,13118
0,COL,"Bell, Julio",Colombia,24374
0,USA,"Bell, Robert",United States,19732
0,ESP,"Beltran, Mario",Spain,24563
0,CZE,"Benak, David",Czech Republic,23210
0,MEX,"Benitez, Isidro",Mexico,20972
0,MEX,"Benitez, Juan Carlos",Mexico,24488
0,USA,"Benjamin, Brad",United States,14486
0,USA,"Bennett, Grant",United States,28136
0,USA,"Bennett, Sam",United States,28158
0,USA,"Bensel, Jr., Frank",United States,9434
0,FRA,"Berardo, Clement",France,14970
0,USA,"Berberian, Jr., Rich",United States,19863
1,SWE,"Berg, Neo",Sweden,29200
0,ITA,"Bergamaschi, Filippo",Italy,15266
0,USA,"Berganio Jr, David",United States,4970
0,USA,"Berger, Daniel",United States,17606
0,USA,"Bergeron, Jacob",United States,25077
0,SWE,"Bergstrom, Albin",Sweden,23620
0,ESP,"Berna Manzanares, Daniel",Spain,18419
0,CAN,"Bernard, Hugo",Canada,22275
0,ITA,"Bertasio, Nino",Italy,13013
0,NOR,"Bertheussen, Elias",Norway,12488
0,USA,"Bertsch, Justin",United States,26101
0,USA,"Bertsch, Shane",United States,5605
0,BEL,"Besard, Matthis",Belgium,26562
0,POR,"Bessa, Tomas",Portugal,19456
0,NED,"Besseling, Wil",Netherlands,9413
0,USA,"Bettencourt, Matt",United States,7835
0,USA,"Beverly, Aaron",United States,26512
0,RSA,"Bezuidenhout, Christiaan",South Africa,18103
0,RSA,"Bezuidenhout, Theunis",South Africa,22909
0,USA,"Bhatia, Akshay",United States,26096
0,IND,"Bhullar, Gaganjeet",India,10766
0,USA,"Bibbs, Taylor",United States,26283
0,USA,"Bigley, Bryan",United States,15329
0,USA,"Binfield, Wade",United States,18435
0,USA,"Bingaman, Brandon",United States,29496
0,BRA,"Biondi, Fred",Brazil,25614
0,NZL,"Bittle, Kit",New Zealand,24329
0,DEN,"Bjerregaard, Lucas",Denmark,11619
0,SWE,"Bjork, Alexander",Sweden,14775
0,DEN,"Bjorn, Thomas",Denmark,5725
0,ISL,"Bjornsson, Andri",Iceland,22991
0,RSA,"Blaauw, Jacques",South Africa,13681
0,RSA,"Blaauw, Reinhardt",South Africa,26197
0,CAN,"Blair, Michael",Canada,22262
0,USA,"Blair, Zac",United States,17639
0,USA,"Blake, Jay Don",United States,612
0,USA,"Blakefield, Mark",United States,13104
0,USA,"Blanchet, Chandler",United States,24956
0,AUS,"Bland, Adam",Australia,10829
0,ENG,"Bland, Richard",England,6516
0,USA,"Blanks, Kris",United States,7185
0,USA,"Blaum, Ryan",United States,9643
1,AUT,"Bleier, Christoph",Austria,24911
0,USA,"Blick, Cody",United States,21876
0,USA,"Blickle, Alex",United States,24939
0,USA,"Bling, Devon",United States,26186
0,SWE,"Blixt, Jonas",Sweden,8182
0,AUS,"Blizard, Rohan",Australia,11838
0,USA,"Block, Michael",United States,12333
0,SWE,"Blomme, Adam",Sweden,23784
0,SWE,"Blomstrand, Christofer",Sweden,20167
0,ENG,"Bloor, George",England,26594
0,AUS,"Blyth, Adam",Australia,7704
0,CHN,"Bobby Zhengkai, Bai",China,17346
0,USA,"Bohn, Jason",United States,6462
0,ENG,"Bolton, Jake",England,25195
1,ESP,"Boneta, Albert",Spain,29948
0,RSA,"Boon, Caylum",South Africa,25175
0,THA,"Boonma, Danthai",Thailand,16424
0,WAL,"Boote, David",Wales,17809
0,AUS,"Booth, Grant",Australia,25389
0,NED,"Bootsma, Philip",Netherlands,20765
0,USA,"Borchert, Matthew",United States,12978
0,ESP,"Borda Antonana, David",Spain,13112
0,USA,"Borja, Piri",United States,16810
0,USA,"Boros, Guy",United States,4650
0,USA,"Boros, Joe",United States,16483
0,NED,"Bosch, Maarten",Netherlands,20269
0,NED,"Boshart, Dylan",Netherlands,12648
0,RSA,"Boshoff, Paul",South Africa,23313
0,USA,"Boteler, Wade",United States,24741
0,RSA,"Bothma, Michiel",South Africa,2054
0,FRA,"Bouniol, Cyril",France,18240
0,FRA,"Bourdy, Gregory",France,7932
0,AUS,"Bourke, Rory",Australia,15845
1,ITA,"Bovari, Pietro",Italy,24077
0,USA,"Bowden, Craig",United States,5920
0,AUS,"Bowditch, Steven",Australia,7053
0,ENG,"Boyd, Gary",England,12795
0,USA,"Bozzelli, Dominic",United States,17564
0,ENG,"Bradbury, Dan",England,29971
0,USA,"Bradley, Keegan",United States,13872
0,USA,"Bradley, Michael",United States,3582
0,RSA,"Bradley, Sean",South Africa,22874
0,USA,"Bradshaw, David S.",United States,11600
0,GER,"Braeunig, Christian",Germany,22969
1,USA,"Braley, Matthew",United States,31270
0,USA,"Brame, Grady",United States,23455
0,USA,"Bramlett, Joseph",United States,14698
0,USA,"Brand, Christian",United States,15625
0,AUS,"Brandt-Richards, Dale",Australia,15160
0,AUS,"Bransdon, David",Australia,5624
0,CAN,"Brault, Etienne",Canada,26622
0,AUS,"Brazel, Sam",Australia,8390
1,IRL,"Brazil, Robert",Ireland,23400
0,RSA,"Breen, Adam",South Africa,28409
0,USA,"Brehaut, Jeff",United States,6280
0,USA,"Brehm, Ryan",United States,10423
0,RSA,"Bremner, Merrick",South Africa,10811
1,USA,"Brennan, Michael",United States,29197
0,AUS,"Brereton, Darcy",Australia,24367
0,USA,"Bridgeman, Jacob",United States,29433
0,AUT,"Brier, Markus",Austria,6391
0,USA,"Brightwell, Jonathan",United States,28536
0,USA,"Brijalba, Rufus",United States,26164
0,DEN,"Bring, Christoffer",Denmark,23244
0,USA,"Brischke, Craig",United States,26812
0,CZE,"Brixi, Gordan",Czech Republic,23817
0,ENG,"Broadhurst, Paul",England,2860
0,ENG,"Broadhurst, Sam",England,27983
0,SWE,"Broberg, Kristoffer",Sweden,15603
0,USA,"Brock, Josh",United States,14003
0,ENG,"Brooks, Daniel",England,12897
0,USA,"Brooks, Mark",United States,24
0,RSA,"Broomhead, Jonothan",South Africa,30210
1,ENG,"Brown, Barclay",England,29947
1,USA,"Brown, Cullan",United States,26892
0,ENG,"Brown, Daniel",England,20766
0,RSA,"Brown, Luke",South Africa,24608
0,NZL,"Brown, Luke",New Zealand,22715
0,NZL,"Brown, Mark",New Zealand,3486
0,AUS,"Brown, Mitchell",Australia,16952
0,USA,"Brown, Scott",United States,11330
0,ENG,"Brown, Steven",England,15771
0,USA,"Brown, Zahkai",United States,17642
0,USA,"Browne Jr, Olin",United States,16488
0,ENG,"Browne, James",England,28677
0,USA,"Browne, Olin",United States,2130
0,SCO,"Bruce, Callum",Scotland,26893
0,RSA,"Bruiners, Heinrich",South Africa,11976
0,FRA,"Brun, Julien",France,16363
0,USA,"Brunner, Brad",United States,21502
1,SUI,"Brunner, Noah",Switzerland,30460
0,USA,"Bryan, Wesley",United States,21236
0,USA,"Bryant, Justin",United States,23805
1,AUS,"Buchanan, Jack",Australia,27379
0,SCO,"Buchanan, Tom",Scotland,19310
0,ITA,"Buchi, Davide",Italy,25184
0,USA,"Buckley, Hayden",United States,25363
0,CAN,"Budd, Russell",Canada,18874
0,ESP,"Buendia, Alfonso",Spain,26886
0,AUS,"Bugdalski, Jackson",Australia,19204
0,USA,"Buhl, William",Norway,29713
0,BEL,"Buijs, Lars",Belgium,21209
0,RSA,"Bujela, Sipho",South Africa,15948
0,USA,"Bulle, Kent",United States,15715
0,ENG,"Bullen, Michael",England,20431
0,USA,"Bullington, Brian",United States,21312
0,AUS,"Burdett, Adam",Australia,17161
0,USA,"Burgoon, Bronson",United States,11082
0,RSA,"Burke, Christiaan",South Africa,26199
0,RSA,"Burmester, Dean",South Africa,14424
0,ENG,"Burnage, Jake",England,24009
0,USA,"Burnett, Ryan",United States,31161
0,AUS,"Burns, Brad",Australia,5231
0,USA,"Burns, Sam",United States,19483
0,ENG,"Burrow, Max",England,24183
0,USA,"Burry, Zachary",United States,26513
0,CAN,"Bussières, Marc-Étienne",Canada,14173
0,USA,"Buttacavoli, Michael",United States,15395
0,RSA,"Bux, Altaaf",South Africa,19600
0,ENG,"Byers, Harvey",England,26642
0,USA,"Byrd, Jonathan",United States,6931
0,USA,"Byrd, Marcus",United States,29304
0,USA,"Byrd, Zack",United States,15465
0,KOR,"Byun, Jinjae",Korea - Republic of,13916
0,USA,"Cabra, Zach",United States,23132
0,ESP,"Cabrera Bello, Rafa",Spain,7457
0,ARG,"Cabrera, Angel",Argentina,5717
0,COL,"Cabrera, Joaquin",Colombia,25920
0,CZE,"Cafourek, Jan",Czech Republic,19851
0,USA,"Cahill, Matt",United States,31030
0,ZIM,"Cairns, Ryan",Zimbabwe,10634
0,USA,"Calcavecchia, Mark",United States,30
0,CHI,"Calderon, Matias",Chile,22607
0,NIR,"Caldwell, Jonathan",Northern Ireland,13682
0,USA,"Caldwell, Zach",United States,27867
